Date,Close,High,Low,Open,Volume,VMA_5,VMA_20,OBV,Price_Change_%,Volume_Change_%,Rel_Volume,Strength_Score,VWAP,VWAP_Diff_%,Spike_ruleA,Spike_ruleB,IF_anomaly,Target_Up
2025-05-28,1407.279541015625,1416.9409060075968,1405.0882196135674,1414.4508509493858,5944611,9292512.5,9292512.5,-5944611.0,-0.646925496617401,-52.97139001934589,0.639720527682906,-0.639720527682906,1413.5118859172946,-0.44091209729200015,False,False,False,1
2025-05-29,1412.1600341796875,1414.3512339364067,1402.996558868143,1406.4826358531975,13771917,10785647.333333334,10785647.333333334,7827306.0,0.3468033906426582,131.67061730363855,1.2768744030260955,1.2768744030260955,1412.9365042904824,-0.054954352756623005,False,False,False,1
2025-05-30,1415.2476806640625,1424.9090454066043,1404.0921613404494,1412.3591925541664,13788484,11536356.5,11536356.5,21615790.0,0.21864706617111818,0.12029552603316507,1.195219998619148,1.195219998619148,1413.627095345992,0.11464022749746314,False,False,False,0
2025-06-02,1408.0762939453125,1411.8612262898896,1390.0483195350275,1406.4826830156508,8098668,10848818.8,10848818.8,13517122.0,-0.5067230857700444,-41.26498605648018,0.7465022828107333,-0.7465022828107333,1412.798358162585,-0.3342348318845514,False,False,False,0
2025-06-03,1399.908935546875,1420.8253977642241,1397.8173136420837,1416.6421539546416,11252626,10571261.2,10916120.0,2264496.0,-0.5800366381819577,38.94415723672091,1.030826520778445,-1.030826520778445,1410.5838983842857,-0.7567761725933526,False,False,False,1
2025-06-04,1417.8372802734375,1420.0284799827916,1400.506473605418,1409.0722382665938,8126827,11007704.4,10517649.57142857,10391323.0,1.280679355015235,-27.778395905098062,0.7726847091461105,0.7726847091461105,1411.3845522807635,0.45719134322722654,False,False,False,1
2025-06-05,1436.662109375,1448.913106617055,1417.9368477633755,1422.3193687346825,13716817,10996684.4,10917545.5,24108140.0,1.3277143550585846,68.7844099548323,1.2564011755206332,1.2564011755206332,1415.3543963366997,1.505468389645036,False,False,False,1
2025-06-06,1437.7576904296875,1445.7258660607492,1431.28354772945,1435.2676355449807,8182161,9875419.8,10613613.888888888,32290301.0,0.07625878399228903,-40.34941925666866,0.770911876544302,0.770911876544302,1417.273392502255,1.4453314396361119,False,False,False,1
2025-06-09,1443.0367431640625,1451.70208605586,1439.5506661134996,1451.204075048637,7885125,9832711.2,10340765.0,40175426.0,0.3671726306536005,-3.630287890937367,0.7625282075359028,0.7625282075359028,1419.2379206622818,1.6768733526141322,False,False,False,0
2025-06-10,1432.777587890625,1448.1163503747662,1430.2875329933524,1444.2318404180787,7913181,9164822.2,10120075.545454545,32262245.0,-0.7109420686643664,0.3558091976981981,0.7819290443493007,-0.7819290443493007,1420.2003805765241,0.8855938560581991,False,False,False,1
